"Label (Grouping)","Total"
"    ZCTA5 01803","26,074"
"ZCTA5 01810",""
"    ZCTA5 01810","35,621"
"ZCTA5 01821",""
"    ZCTA5 01821","30,909"
"ZCTA5 01824",""
"    ZCTA5 01824","26,881"
"ZCTA5 01826",""
"    ZCTA5 01826","32,689"
"ZCTA5 01827",""
"    ZCTA5 01827","3,358"
"ZCTA5 01830",""
"    ZCTA5 01830","27,553"
"ZCTA5 01832",""
"    ZCTA5 01832","25,656"
"ZCTA5 01833",""
"    ZCTA5 01833","8,410"
"ZCTA5 01834",""
"    ZCTA5 01834","6,752"
"ZCTA5 01835",""
"    ZCTA5 01835","14,578"
"ZCTA5 01840",""
"    ZCTA5 01840","7,121"
"ZCTA5 01841",""
"    ZCTA5 01841","53,654"
"ZCTA5 01843",""
"    ZCTA5 01843","28,346"
"ZCTA5 01844",""
"    ZCTA5 01844","52,970"
"ZCTA5 01845",""
"    ZCTA5 01845","31,855"
"ZCTA5 01850",""
"    ZCTA5 01850","16,670"
"ZCTA5 01851",""
"    ZCTA5 01851","32,691"
"ZCTA5 01852",""
"    ZCTA5 01852","36,708"
"ZCTA5 01854",""
"    ZCTA5 01854","29,561"
"ZCTA5 01860",""
"    ZCTA5 01860","6,723"
"ZCTA5 01862",""
"    ZCTA5 01862","11,430"
"ZCTA5 01863",""
"    ZCTA5 01863","9,536"
"ZCTA5 01864",""
"    ZCTA5 01864","15,554"
"ZCTA5 01867",""
"    ZCTA5 01867","25,522"
"ZCTA5 01876",""
"    ZCTA5 01876","31,105"
"ZCTA5 01879",""
"    ZCTA5 01879","12,368"
"ZCTA5 01880",""
"    ZCTA5 01880","27,071"
"ZCTA5 01886",""
"    ZCTA5 01886","24,618"
"ZCTA5 01887",""
"    ZCTA5 01887","23,349"
"ZCTA5 01890",""
"    ZCTA5 01890","22,970"
"ZCTA5 01901",""
"    ZCTA5 01901","2,794"
"ZCTA5 01902",""
"    ZCTA5 01902","50,725"
"ZCTA5 01904",""
"    ZCTA5 01904","19,944"
"ZCTA5 01905",""
"    ZCTA5 01905","27,761"
"ZCTA5 01906",""
"    ZCTA5 01906","28,619"
"ZCTA5 01907",""
"    ZCTA5 01907","15,148"
"ZCTA5 01908",""
"    ZCTA5 01908","3,334"
"ZCTA5 01913",""
"    ZCTA5 01913","17,366"
"ZCTA5 01915",""
"    ZCTA5 01915","42,341"
"ZCTA5 01921",""
"    ZCTA5 01921","8,263"
"ZCTA5 01922",""
"    ZCTA5 01922","3,134"
"ZCTA5 01923",""
"    ZCTA5 01923","27,987"
"ZCTA5 01929",""
"    ZCTA5 01929","3,618"
"ZCTA5 01930",""
"    ZCTA5 01930","29,729"
"ZCTA5 01937",""
"    ZCTA5 01937","100"
"ZCTA5 01938",""
"    ZCTA5 01938","13,785"
"ZCTA5 01940",""
"    ZCTA5 01940","13,326"
"ZCTA5 01944",""
"    ZCTA5 01944","5,395"
"ZCTA5 01945",""
"    ZCTA5 01945","20,462"
"ZCTA5 01949",""
"    ZCTA5 01949","9,779"
"ZCTA5 01950",""
"    ZCTA5 01950","18,289"
"ZCTA5 01951",""
"    ZCTA5 01951","3,582"
"ZCTA5 01952",""
"    ZCTA5 01952","9,236"
"ZCTA5 01960",""
"    ZCTA5 01960","54,155"
"ZCTA5 01965",""
"    ZCTA5 01965","329"
"ZCTA5 01966",""
"    ZCTA5 01966","6,992"
"ZCTA5 01969",""
"    ZCTA5 01969","6,161"
"ZCTA5 01970",""
"    ZCTA5 01970","44,451"
"ZCTA5 01982",""
"    ZCTA5 01982","7,618"
"ZCTA5 01983",""
"    ZCTA5 01983","6,569"
"ZCTA5 01984",""
"    ZCTA5 01984","4,979"
"ZCTA5 01985",""
"    ZCTA5 01985","4,500"
"ZCTA5 02019",""
"    ZCTA5 02019","16,945"
"ZCTA5 02021",""
"    ZCTA5 02021","24,370"
"ZCTA5 02025",""
"    ZCTA5 02025","8,381"
"ZCTA5 02026",""
"    ZCTA5 02026","25,364"
"ZCTA5 02030",""
"    ZCTA5 02030","5,923"
"ZCTA5 02032",""
"    ZCTA5 02032","4,853"
"ZCTA5 02035",""
"    ZCTA5 02035","18,618"
"ZCTA5 02038",""
"    ZCTA5 02038","33,261"
"ZCTA5 02043",""
"    ZCTA5 02043","24,272"
"ZCTA5 02045",""
"    ZCTA5 02045","10,072"
"ZCTA5 02047",""
"    ZCTA5 02047","371"
"ZCTA5 02048",""
"    ZCTA5 02048","23,860"
"ZCTA5 02050",""
